"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"El Callao",2009,10,3,4.75
"El Callao",2009,15,3,4.75
"El Callao",2009,20,3,4.75
"El Callao",2009,25,3,4.75
"El Callao",2009,30,3,4.75
"El Callao",2009,50,2,4.75
"El Callao",2009,75,1,4.75
"El Callao",2010,10,2,4.75
"El Callao",2010,15,2,4.75
"El Callao",2010,20,2,4.75
"El Callao",2010,25,2,4.75
"El Callao",2010,30,2,4.75
"El Callao",2010,50,1,4.75
"El Callao",2010,75,1,4.75
"El Callao",2011,10,1,4.75
"El Callao",2011,15,1,4.75
"El Callao",2011,20,1,4.75
"El Callao",2011,25,1,4.75
"El Callao",2011,30,1,4.75
"El Callao",2011,50,1,4.75
"El Callao",2011,75,0,4.75
"El Callao",2012,10,2,4.75
"El Callao",2012,15,2,4.75
"El Callao",2012,20,2,4.75
"El Callao",2012,25,2,4.75
"El Callao",2012,30,2,4.75
"El Callao",2012,50,1,4.75
"El Callao",2012,75,0,4.75
"Cuzco",2000,10,0,0
"Cuzco",2000,15,0,0
"Cuzco",2000,20,0,0
"Cuzco",2000,25,0,0
"Cuzco",2000,30,0,0
"Cuzco",2000,50,0,0
"Cuzco",2000,75,0,0
"Cuzco",2001,10,4344,299.166666666667
"Cuzco",2001,15,4342,299.166666666667
"Cuzco",2001,20,4336,299.166666666667
"Cuzco",2001,25,4333,299.166666666667
"Cuzco",2001,30,4330,299.166666666667
"Cuzco",2001,50,4274,299.166666666667
"Cuzco",2001,75,4197,299.166666666667
"Cuzco",2002,10,1503,299.166666666667
"Cuzco",2002,15,1502,299.166666666667
"Cuzco",2002,20,1499,299.166666666667
"Cuzco",2002,25,1498,299.166666666667
"Cuzco",2002,30,1496,299.166666666667
"Cuzco",2002,50,1472,299.166666666667
"Cuzco",2002,75,1433,299.166666666667
"Cuzco",2003,10,2938,299.166666666667
"Cuzco",2003,15,2937,299.166666666667
"Cuzco",2003,20,2934,299.166666666667
"Cuzco",2003,25,2933,299.166666666667
"Cuzco",2003,30,2930,299.166666666667
